trade_id,user_id,instrument_id,trade_type,quantity,price,trade_timestamp,status
T001,U001,I001,buy,100,182.50,2026-01-03 09:30:00,filled
T002,U001,I006,buy,50,495.00,2026-01-03 10:15:00,filled
T003,U002,I009,buy,200,476.50,2026-01-04 09:45:00,filled
T004,U003,I004,buy,0.5,96250.00,2026-01-05 11:00:00,filled
T005,U003,I005,buy,2.0,3450.00,2026-01-05 11:30:00,filled
T006,U004,I003,buy,10000,1.0921,2026-01-06 14:00:00,filled
T007,U005,I001,buy,500,183.75,2026-01-07 09:30:00,filled
T008,U005,I002,buy,200,196.80,2026-01-07 10:00:00,filled
T009,U006,I004,buy,0.25,97100.00,2026-01-08 15:00:00,filled
T010,U007,I008,buy,100,415.20,2026-01-09 09:30:00,filled
T011,U008,I009,buy,1000,477.00,2026-01-10 09:30:00,filled
T012,U009,I003,buy,5000,1.0934,2026-01-10 10:00:00,filled
T013,U010,I010,buy,50,2695.00,2026-01-13 09:30:00,filled
T014,U001,I001,sell,50,185.00,2026-01-15 14:00:00,filled
T015,U003,I004,sell,0.25,99500.00,2026-01-20 16:00:00,filled
T016,U002,I009,buy,100,478.00,2026-01-22 09:30:00,filled
T017,U006,I005,buy,3.0,3520.00,2026-01-23 11:00:00,filled
T018,U004,I007,buy,20000,1.2541,2026-01-24 14:00:00,filled
T019,U007,I008,sell,50,425.00,2026-01-28 15:00:00,filled
T020,U010,I004,buy,0.1,101250.00,2026-02-01 10:00:00,filled
T021,U001,I006,sell,25,510.00,2026-02-03 14:00:00,filled
T022,U005,I001,sell,200,186.50,2026-02-05 14:00:00,filled
T023,U008,I009,sell,500,479.50,2026-02-06 15:00:00,filled
T024,U003,I005,sell,1.0,3600.00,2026-02-10 15:30:00,filled
T025,U009,I003,sell,2500,1.0890,2026-02-12 10:00:00,filled
T026,U006,I004,buy,0.15,103000.00,2026-02-14 12:00:00,filled
T027,U010,I010,sell,25,2720.00,2026-02-15 14:00:00,filled
T028,U007,I002,buy,150,199.50,2026-02-18 09:30:00,filled
T029,U004,I001,buy,300,187.20,2026-02-19 09:30:00,filled
T030,U002,I008,buy,75,430.00,2026-02-20 09:30:00,filled
T031,U001,I004,buy,0.05,105000.00,2026-03-01 11:00:00,filled
T032,U005,I006,buy,100,525.00,2026-03-03 09:30:00,filled
T033,U008,I010,buy,30,2740.00,2026-03-05 09:30:00,filled
T034,U009,I007,buy,15000,1.2590,2026-03-06 14:00:00,filled
T035,U003,I006,buy,80,530.00,2026-03-10 09:30:00,filled
T036,U006,I005,sell,1.5,3650.00,2026-03-12 15:00:00,filled
T037,U010,I002,buy,200,201.00,2026-03-15 09:30:00,filled
T038,U007,I004,buy,0.08,107500.00,2026-03-18 11:00:00,filled
T039,U004,I008,buy,100,440.00,2026-03-20 09:30:00,filled
T040,U002,I006,buy,60,535.00,2026-03-22 09:30:00,filled
T041,U001,I009,buy,300,480.00,2026-04-01 09:30:00,filled
T042,U005,I010,buy,40,2760.00,2026-04-03 09:30:00,filled
T043,U003,I004,buy,0.2,110000.00,2026-04-05 11:00:00,pending
T044,U008,I002,buy,250,203.50,2026-04-07 09:30:00,filled
T045,U009,I001,buy,150,188.00,2026-04-09 09:30:00,filled
T046,U006,I008,buy,80,445.00,2026-04-10 09:30:00,filled
T047,U010,I005,buy,2.5,3700.00,2026-04-14 11:00:00,filled
T048,U007,I001,buy,200,189.50,2026-04-16 09:30:00,filled
T049,U004,I006,buy,120,540.00,2026-04-18 09:30:00,cancelled
T050,U001,I002,buy,100,205.00,2026-05-01 09:30:00,filled
