transaction_id,user_id,trade_id,amount,fee,transaction_type,transaction_timestamp
TX001,U001,T001,18250.00,18.25,trade_settlement,2026-01-03 09:35:00
TX002,U001,T002,24750.00,24.75,trade_settlement,2026-01-03 10:20:00
TX003,U002,T003,95300.00,47.65,trade_settlement,2026-01-04 09:50:00
TX004,U003,T004,48125.00,48.13,trade_settlement,2026-01-05 11:05:00
TX005,U003,T005,6900.00,6.90,trade_settlement,2026-01-05 11:35:00
TX006,U004,T006,10921.00,5.46,trade_settlement,2026-01-06 14:05:00
TX007,U005,T007,91875.00,91.88,trade_settlement,2026-01-07 09:35:00
TX008,U005,T008,39360.00,39.36,trade_settlement,2026-01-07 10:05:00
TX009,U006,T009,24275.00,24.28,trade_settlement,2026-01-08 15:05:00
TX010,U007,T010,41520.00,41.52,trade_settlement,2026-01-09 09:35:00
TX011,U008,T011,477000.00,238.50,trade_settlement,2026-01-10 09:35:00
TX012,U009,T012,5467.00,2.73,trade_settlement,2026-01-10 10:05:00
TX013,U010,T013,134750.00,67.38,trade_settlement,2026-01-13 09:35:00
TX014,U001,T014,9250.00,9.25,trade_settlement,2026-01-15 14:05:00
TX015,U003,T015,24875.00,24.88,trade_settlement,2026-01-20 16:05:00
TX016,U002,T016,47800.00,23.90,trade_settlement,2026-01-22 09:35:00
TX017,U006,T017,10560.00,10.56,trade_settlement,2026-01-23 11:05:00
TX018,U004,T018,25082.00,12.54,trade_settlement,2026-01-24 14:05:00
TX019,U007,T019,21250.00,21.25,trade_settlement,2026-01-28 15:05:00
TX020,U010,T020,10125.00,10.13,trade_settlement,2026-02-01 10:05:00
TX021,U001,T021,12750.00,12.75,trade_settlement,2026-02-03 14:05:00
TX022,U005,T022,37300.00,37.30,trade_settlement,2026-02-05 14:05:00
TX023,U008,T023,239750.00,119.88,trade_settlement,2026-02-06 15:05:00
TX024,U003,T024,3600.00,3.60,trade_settlement,2026-02-10 15:35:00
TX025,U009,T025,2722.50,1.36,trade_settlement,2026-02-12 10:05:00
TX026,U006,T026,15450.00,15.45,trade_settlement,2026-02-14 12:05:00
TX027,U010,T027,68000.00,34.00,trade_settlement,2026-02-15 14:05:00
TX028,U007,T028,29925.00,29.93,trade_settlement,2026-02-18 09:35:00
TX029,U004,T029,56160.00,56.16,trade_settlement,2026-02-19 09:35:00
TX030,U002,T030,32250.00,32.25,trade_settlement,2026-02-20 09:35:00
TX031,U001,T031,5250.00,5.25,trade_settlement,2026-03-01 11:05:00
TX032,U005,T032,52500.00,52.50,trade_settlement,2026-03-03 09:35:00
TX033,U008,T033,82200.00,41.10,trade_settlement,2026-03-05 09:35:00
TX034,U009,T034,18885.00,9.44,trade_settlement,2026-03-06 14:05:00
TX035,U003,T035,42400.00,42.40,trade_settlement,2026-03-10 09:35:00
TX036,U006,T036,5475.00,5.48,trade_settlement,2026-03-12 15:05:00
TX037,U010,T037,40200.00,40.20,trade_settlement,2026-03-15 09:35:00
TX038,U007,T038,8600.00,8.60,trade_settlement,2026-03-18 11:05:00
TX039,U004,T039,44000.00,44.00,trade_settlement,2026-03-20 09:35:00
TX040,U002,T040,32100.00,32.10,trade_settlement,2026-03-22 09:35:00
TX041,U001,T041,144000.00,72.00,trade_settlement,2026-04-01 09:35:00
TX042,U005,T042,110400.00,55.20,trade_settlement,2026-04-03 09:35:00
TX043,U008,T044,50875.00,50.88,trade_settlement,2026-04-07 09:35:00
TX044,U009,T045,28200.00,28.20,trade_settlement,2026-04-09 09:35:00
TX045,U006,T046,35600.00,35.60,trade_settlement,2026-04-10 09:35:00
TX046,U010,T047,9250.00,9.25,trade_settlement,2026-04-14 11:05:00
TX047,U007,T048,37900.00,37.90,trade_settlement,2026-04-16 09:35:00
TX048,U001,T050,20500.00,20.50,trade_settlement,2026-05-01 09:35:00
DEP001,U001,,50000.00,0.00,deposit,2026-01-02 09:00:00
DEP002,U003,,200000.00,0.00,deposit,2026-01-04 09:00:00
DEP003,U008,,500000.00,0.00,deposit,2026-01-09 09:00:00
DEP004,U005,,150000.00,0.00,deposit,2026-01-06 09:00:00
DEP005,U010,,300000.00,0.00,deposit,2026-01-12 09:00:00
